submission_id,QUD,RT,age,both_infos,education,experiment_id,gender,ingroup_info_a,languages,option1,option2,question,response,startDate,startTime,trial_name,trial_number
3142,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,3,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,topic_choice,1
3142,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,4,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,statement_rating,1
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision1,1
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision1,2
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision1,3
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,4,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision1,4
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,-3,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision1,5
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision2,1
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision2,2
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision2,3
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,2,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision2,4
3142,NA,NA,21,false,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,-2,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,dilemma_decision2,5
3142,,5821,21,NA,Abitur,283,Weiblich,NA,Deutsch,Du musstest immer so schnell wie möglich antworten.,"Es ist irrelevant, wie lange du für deine Antworten benötigt hast.",Welche dieser Behauptungen über dieses Experiment ist wahr?,"Es ist irrelevant, wie lange du für deine Antworten benötigt hast.",Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,understanding_check,1
3142,,2831,21,NA,Abitur,283,Weiblich,NA,Deutsch,Anfangs wurden dir mehrere Themen zur Auswahl gestellt.,Du konntest dir ein Dilemma aussuchen.,Welche dieser Behauptungen über dieses Experiment ist wahr?,Anfangs wurden dir mehrere Themen zur Auswahl gestellt.,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,understanding_check,2
3142,,2055,21,NA,Abitur,283,Weiblich,NA,Deutsch,Für die Durchführung dieses Experiments erhälst du eine Aufwandsentschädigung oder VP Stunden.,"Wir können dir leider keine Aufwandsentschädigung oder VP Stunden anbieten, sind dir aber sehr dankbar.",Welche dieser Behauptungen über dieses Experiment ist wahr?,"Wir können dir leider keine Aufwandsentschädigung oder VP Stunden anbieten, sind dir aber sehr dankbar.",Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,understanding_check,3
3142,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,2,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,group_ident,1
3142,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,-3,Fri Aug 27 2021 16:53:45 GMT+0200 (CEST),1630076025484,group_ident,2
3141,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,7,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,topic_choice,1
3141,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,5,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,statement_rating,1
3141,NA,NA,21,true,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision2,1
3141,NA,NA,21,true,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision2,2
3141,NA,NA,21,true,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision2,3
3141,NA,NA,21,true,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,2,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision2,4
3141,NA,NA,21,true,Abitur,283,Weiblich,false,Deutsch,NA,NA,NA,-1,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision2,5
3141,NA,NA,21,true,Abitur,283,Weiblich,true,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision1,1
3141,NA,NA,21,true,Abitur,283,Weiblich,true,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision1,2
3141,NA,NA,21,true,Abitur,283,Weiblich,true,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision1,3
3141,NA,NA,21,true,Abitur,283,Weiblich,true,Deutsch,NA,NA,NA,4,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision1,4
3141,NA,NA,21,true,Abitur,283,Weiblich,true,Deutsch,NA,NA,NA,-3,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,dilemma_decision1,5
3141,,14386,21,NA,Abitur,283,Weiblich,NA,Deutsch,Du musstest immer so schnell wie möglich antworten.,"Es ist irrelevant, wie lange du für deine Antworten benötigt hast.",Welche dieser Behauptungen über dieses Experiment ist wahr?,Du musstest immer so schnell wie möglich antworten.,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,understanding_check,1
3141,,7900,21,NA,Abitur,283,Weiblich,NA,Deutsch,Anfangs wurden dir mehrere Themen zur Auswahl gestellt.,Du konntest dir ein Dilemma aussuchen.,Welche dieser Behauptungen über dieses Experiment ist wahr?,Anfangs wurden dir mehrere Themen zur Auswahl gestellt.,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,understanding_check,2
3141,,7191,21,NA,Abitur,283,Weiblich,NA,Deutsch,Für die Durchführung dieses Experiments erhälst du eine Aufwandsentschädigung oder VP Stunden.,"Wir können dir leider keine Aufwandsentschädigung oder VP Stunden anbieten, sind dir aber sehr dankbar.",Welche dieser Behauptungen über dieses Experiment ist wahr?,"Wir können dir leider keine Aufwandsentschädigung oder VP Stunden anbieten, sind dir aber sehr dankbar.",Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,understanding_check,3
3141,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,3,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,group_ident,1
3141,NA,NA,21,NA,Abitur,283,Weiblich,NA,Deutsch,NA,NA,NA,2,Fri Aug 27 2021 16:47:34 GMT+0200 (CEST),1630075654426,group_ident,2
3064,NA,NA,60,NA,Universitärer Abschluss,283,Weiblich,NA,Deutsch,NA,NA,NA,3,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,topic_choice,1
3064,NA,NA,60,NA,Universitärer Abschluss,283,Weiblich,NA,Deutsch,NA,NA,NA,3,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,statement_rating,1
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision1,1
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision1,2
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision1,3
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,5,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision1,4
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,-2,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision1,5
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision2,1
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision2,2
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision2,3
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,2,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision2,4
3064,NA,NA,60,true,Universitärer Abschluss,283,Weiblich,false,Deutsch,NA,NA,NA,-2,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,dilemma_decision2,5
3064,,91310,60,NA,Universitärer Abschluss,283,Weiblich,NA,Deutsch,Du musstest immer so schnell wie möglich antworten.,"Es ist irrelevant, wie lange du für deine Antworten benötigt hast.",Welche dieser Behauptungen über dieses Experiment ist wahr?,"Es ist irrelevant, wie lange du für deine Antworten benötigt hast.",Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,understanding_check,1
3064,,9612,60,NA,Universitärer Abschluss,283,Weiblich,NA,Deutsch,Anfangs wurden dir mehrere Themen zur Auswahl gestellt.,Du konntest dir ein Dilemma aussuchen.,Welche dieser Behauptungen über dieses Experiment ist wahr?,Anfangs wurden dir mehrere Themen zur Auswahl gestellt.,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,understanding_check,2
3064,,12663,60,NA,Universitärer Abschluss,283,Weiblich,NA,Deutsch,Für die Durchführung dieses Experiments erhälst du eine Aufwandsentschädigung oder VP Stunden.,"Wir können dir leider keine Aufwandsentschädigung oder VP Stunden anbieten, sind dir aber sehr dankbar.",Welche dieser Behauptungen über dieses Experiment ist wahr?,"Wir können dir leider keine Aufwandsentschädigung oder VP Stunden anbieten, sind dir aber sehr dankbar.",Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,understanding_check,3
3064,NA,NA,60,NA,Universitärer Abschluss,283,Weiblich,NA,Deutsch,NA,NA,NA,2,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,group_ident,1
3064,NA,NA,60,NA,Universitärer Abschluss,283,Weiblich,NA,Deutsch,NA,NA,NA,-2,Fri Aug 27 2021 10:46:13 GMT+0200 (CEST),1630053973022,group_ident,2
3063,NA,NA,60,NA,Universitärer Abschluss,283,Männlich,NA,Deutsch,NA,NA,NA,1,Fri Aug 27 2021 10:51:35 GMT+0200 (Mitteleuropäische Sommerzeit),1630054295391,topic_choice,1
3063,NA,NA,60,NA,Universitärer Abschluss,283,Männlich,NA,Deutsch,NA,NA,NA,5,Fri Aug 27 2021 10:51:35 GMT+0200 (Mitteleuropäische Sommerzeit),1630054295391,statement_rating,1
3063,NA,NA,60,true,Universitärer Abschluss,283,Männlich,true,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:51:35 GMT+0200 (Mitteleuropäische Sommerzeit),1630054295391,dilemma_decision1,1
3063,NA,NA,60,true,Universitärer Abschluss,283,Männlich,true,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:51:35 GMT+0200 (Mitteleuropäische Sommerzeit),1630054295391,dilemma_decision1,2
3063,NA,NA,60,true,Universitärer Abschluss,283,Männlich,true,Deutsch,NA,NA,NA,next,Fri Aug 27 2021 10:51:35 GMT+0200 (Mitteleuropäische Sommerzeit),1630054295391,dilemma_decision1,3
